,car_name,yr_mfr,fuel_type,kms_run,city,body_type,transmission,total_owners,original_price,warranty_avail,sale_price
346,8,2014,2,31287,bengaluru,0.0,0.0,3,,2,286499
347,7,2016,2,47833,hyderabad,0.0,,2,,2,351199
348,7,2011,2,55810,new delhi,0.0,0.0,2,251251.0,2,206999
349,7,2017,2,38079,mumbai,0.0,0.0,2,,2,334299
350,7,2014,2,83300,ahmedabad,0.0,0.0,1,489557.0,2,394499
351,1,2010,2,98553,bengaluru,0.0,0.0,1,,2,224699
352,15,2015,4,113208,new delhi,4.0,0.0,1,,2,918099
353,8,2014,4,95243,mumbai,0.0,0.0,1,,2,526999
354,8,2010,2,87265,mumbai,0.0,0.0,1,,2,268299
355,1,2006,1,63992,ahmedabad,0.0,0.0,2,,2,80000
356,7,2011,2,35039,hyderabad,0.0,0.0,1,238699.0,2,238599
357,7,2012,2,53558,mumbai,0.0,0.0,1,279699.0,2,279599
358,16,2011,2,36419,mumbai,0.0,0.0,2,,2,257399
359,7,2015,2,67455,bengaluru,,,1,,2,280099
360,7,2014,2,53935,lucknow,1.0,0.0,1,,2,411099
361,16,2015,2,60954,chennai,0.0,0.0,1,514583.0,2,435099
362,7,2019,4,65709,chennai,1.0,0.0,1,698399.0,2,691699
363,7,2012,4,123846,new delhi,0.0,0.0,1,,2,327799
364,7,2018,4,27623,chennai,0.0,0.0,1,748708.0,2,658899
365,9,2017,2,57969,ahmedabad,1.0,0.0,1,977696.0,2,790299
366,12,2015,2,24134,mumbai,0.0,1.0,1,558500.0,2,555899
367,8,2019,2,28932,mumbai,2.0,,1,1111861.0,2,1071103
368,8,2015,2,82350,ahmedabad,0.0,0.0,2,292888.0,2,260299
369,15,2016,3,58133,bengaluru,0.0,0.0,1,,2,350000
370,7,2011,2,36503,chennai,0.0,0.0,2,,2,290699
371,12,2011,4,73715,mumbai,3.0,1.0,1,,2,582899
372,9,2012,2,87615,hyderabad,1.0,0.0,1,,2,478299
373,16,2016,2,40705,mumbai,3.0,1.0,1,,2,1122108
374,16,2011,2,55925,bengaluru,3.0,,4,405864.0,2,401099
375,7,2016,2,34151,chennai,0.0,0.0,2,,2,311399
376,7,2016,4,71468,ghaziabad,2.0,0.0,1,801733.0,2,623799
377,7,2016,4,28987,hyderabad,2.0,0.0,1,805180.0,2,777299
378,7,2009,2,107840,pune,0.0,0.0,1,,2,184699
379,7,2014,2,30411,mumbai,1.0,0.0,2,,2,460899
380,8,2020,2,379,hyderabad,0.0,,1,692940.0,2,680899
381,6,2019,2,14779,bengaluru,2.0,1.0,2,948387.0,2,936699
382,7,2017,2,62516,hyderabad,0.0,0.0,1,755490.0,2,614099
383,8,2011,2,66622,new delhi,0.0,0.0,1,197299.0,2,189499
384,7,2012,4,51209,mumbai,2.0,0.0,1,,2,590899
385,7,2016,4,82420,bengaluru,2.0,0.0,1,,2,756099
386,8,2012,4,88815,bengaluru,1.0,0.0,5,,2,413899
387,7,2009,1,70095,new delhi,0.0,0.0,2,,1,170000
388,7,2018,2,49072,ahmedabad,1.0,0.0,1,804000.0,2,690699
389,7,2020,2,3822,ahmedabad,2.0,0.0,1,583234.0,2,476499
